ID,Idade,Sexo,InstEnsi,Jogou,Console,TDeUso,Prazer_1,Prazer_2,Prazer_3,Prazer_4,Prazer_5,Prazer_6,Prazer_7,Prazer_8,Facil_1,Facil_2,Facil_3,Facil_4,Facil_5,Facil_6,Utilid_1,Utilid_2,Utilid_3,Utilid_4,Desejo_1,Desejo_2,Desejo_3,Desejo_4,Intens_1,Intens_2,Intens_3,UsoAt_1,UsoAt_2,UsoLik_1,UsoLik_2
138,17,1,1,2,0,6,5,3,5,5,5,5,5,5,1,4,5,5,5,5,5,5,5,4,5,5,5,5,5,1,1,12,12,5,3
139,23,1,1,2,0,4,4,3,5,2,4,5,5,1,2,4,5,2,3,4,3,5,4,2,2,3,4,2,1,2,5,0,0,1,1
140,18,1,1,2,0,7,5,5,5,5,5,5,5,5,3,4,5,3,5,4,5,5,5,4,4,5,3,4,4,3,4,3,18,3,3
141,20,1,1,3,0,10,5,1,5,5,5,5,5,5,3,3,5,3,5,5,3,5,5,3,5,5,5,5,5,1,5,7,24,4,4
142,18,1,1,2,0,1,4,3,4,4,4,4,5,3,1,4,3,4,4,5,4,2,5,3,4,4,5,4,5,1,5,5,5,3,2
143,18,0,1,2,0,2,5,3,5,4,5,5,5,3,1,2,3,4,4,5,5,2,5,3,4,5,5,5,5,1,5,5,12,3,3
144,20,1,1,2,0,7,4,1,3,3,3,4,5,2,5,5,3,5,4,5,2,3,4,3,2,4,4,5,2,1,2,5,10,3,2
145,19,0,0,2,0,1,5,3,5,5,3,4,4,5,1,2,5,5,5,5,1,3,4,3,5,4,2,5,5,4,5,7,4,4,2
146,22,1,0,2,0,1,2,2,2,1,5,5,4,3,2,3,4,4,4,5,4,5,5,4,2,4,4,4,3,2,4,1,1,2,2
147,20,1,0,1,0,15,4,1,5,3,5,5,5,2,1,4,3,3,4,5,5,5,5,2,5,5,2,3,5,3,5,1,3,2,2
